support,itemsets
0.3577371048252912,frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'})
0.34359400998336104,frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'})
0.29866888519134777,frozenset({'height_w_shoes_HEIGHT_W_SHOES_MED'})
0.34608985024958405,frozenset({'weight_WEIGHT_HIGH'})
0.3319467554076539,frozenset({'weight_WEIGHT_LOW'})
0.32196339434276205,frozenset({'weight_WEIGHT_MED'})
0.37104825291181365,frozenset({'wingspan_WINGSPAN_HIGH'})
0.3469217970049917,frozenset({'wingspan_WINGSPAN_LOW'})
0.2820299500831947,frozenset({'wingspan_WINGSPAN_MED'})
0.36189683860232946,frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})
0.37271214642262895,frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})
0.2653910149750416,frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED'})
0.3668885191347754,frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})
0.348585690515807,frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})
0.28452579034941766,frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED'})
0.34193011647254573,frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH'})
0.3352745424292845,frozenset({'lane_agility_time_LANE_AGILITY_TIME_LOW'})
0.3227953410981697,frozenset({'lane_agility_time_LANE_AGILITY_TIME_MED'})
0.3178036605657238,frozenset({'bench_press_BENCH_PRESS_HIGH'})
0.6821963394342762,frozenset({'bench_press_BENCH_PRESS_LOW'})
0.24625623960066556,"frozenset({'weight_WEIGHT_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_HIGH'})"
0.2687188019966722,"frozenset({'wingspan_WINGSPAN_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_HIGH'})"
0.17554076539101499,"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})"
0.17803660565723795,"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})"
0.18469217970049917,"frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_HIGH'})"
0.11064891846921797,"frozenset({'lane_agility_time_LANE_AGILITY_TIME_MED', 'height_w_shoes_HEIGHT_W_SHOES_HIGH'})"
0.14143094841930118,"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'bench_press_BENCH_PRESS_HIGH'})"
0.21630615640599002,"frozenset({'bench_press_BENCH_PRESS_LOW', 'height_w_shoes_HEIGHT_W_SHOES_HIGH'})"
0.23960066555740434,"frozenset({'weight_WEIGHT_LOW', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})"
0.2562396006655574,"frozenset({'wingspan_WINGSPAN_LOW', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})"
